,enzyme,R
72,3.2.1.21,R02985
73,3.2.1.21,R03527
74,3.2.1.21,R04949
75,3.2.1.21,R04998
76,3.2.1.21,R06077
77,3.2.1.21,R06092
78,3.2.1.21,R06104
79,3.2.1.21,R10035
80,3.2.1.21,R10039
81,3.2.1.21,R10040
82,6.2.1.7,R02794
83,6.2.1.7,R04580
84,6.2.1.7,R04507
85,6.2.1.7,R08733
86,6.2.1.7,R08738
87,6.2.1.7,R08743
88,2.3.1.21,R01923
89,7.2.1.3,R09739
90,4.4.1.20,R03059
91,3.1.3.67,R04513
92,3.1.3.67,R03363
93,3.1.1.29,R04238
94,3.1.3.11,R04780
95,3.1.3.11,R01845
96,1.3.1.70,R05639
97,1.3.1.70,R07483
98,1.1.1.271,R05692
99,1.1.1.271,R07059
100,1.1.1.271,R07060
101,2.7.1.48,R00964
102,2.7.1.48,R00513
103,2.7.1.48,R00516
104,2.7.1.48,R00517
105,2.7.1.48,R00962
106,2.7.1.48,R00967
107,2.7.1.48,R00968
108,2.7.1.48,R00970
109,2.7.1.48,R01548
110,2.7.1.48,R01549
111,2.7.1.48,R01880
112,2.7.1.48,R02091
113,2.7.1.48,R02096
114,2.7.1.48,R02097
115,2.7.1.48,R02327
116,2.7.1.48,R02332
117,2.7.1.48,R02371
118,2.7.1.48,R02372
119,2.7.1.48,R08232
120,2.3.1.26,R01461
121,2.3.1.42,R01013
122,3.2.1.35,R07824
123,3.2.1.35,R07825
124,3.2.1.35,R10905
125,2.7.7.15,R01890
126,2.7.7.15,R02590
127,1.5.1.34,R01793
128,1.5.1.34,R01794
129,1.11.1.6,R00009
130,1.11.1.6,R00602
131,1.11.1.6,R02670
132,2.4.1.17,R01383
133,2.4.1.17,R02358
134,2.4.1.17,R02389
135,2.4.1.17,R02478
136,2.4.1.17,R02502
137,2.4.1.17,R02902
138,2.4.1.17,R03091
139,2.4.1.17,R04352
140,2.4.1.17,R04353
141,2.4.1.17,R04354
142,2.4.1.17,R04683
143,2.4.1.17,R07106
144,2.4.1.17,R08259
145,2.4.1.17,R08261
146,2.4.1.17,R08262
147,2.4.1.17,R08263
148,2.4.1.17,R08615
149,2.4.1.17,R09426
150,2.4.1.17,R09427
151,2.4.99.6,R04596
152,2.4.99.6,R09297
153,2.4.99.6,R04656
154,2.4.99.6,R06026
155,2.4.99.6,R06037
156,2.4.99.6,R06153
157,3.2.1.24,R08717
158,3.2.1.24,R08718
159,2.8.2.23,R05798
160,2.8.2.29,R05798
161,3.1.3.75,R06870
162,3.1.3.75,R06871
163,3.1.1.5,R07291
164,3.1.1.5,R01309
165,3.1.1.5,R02744
166,3.1.1.5,R02746
167,3.1.1.5,R02747
168,3.1.1.5,R03416
169,3.1.1.5,R03417
170,2.8.2.30,R05798
171,2.5.1.61,R00084
172,2.4.1.206,R04493
173,2.4.1.206,R05971
174,1.14.14.154,R05640
175,1.14.14.154,R05731
176,1.14.14.154,R12119
177,1.14.14.154,R12120
178,1.14.14.154,R12121
179,1.14.15.36,R12323
180,1.14.15.36,R12318
181,1.14.15.36,R12321
182,1.14.15.36,R12322
183,2.7.1.52,R03161
184,2.1.1.348,R12011
185,6.2.1.3,R01280
186,3.3.1.1,R00192
187,3.3.1.1,R04936
188,2.4.1.221,R09295
189,1.4.1.3,R00243
190,1.4.1.3,R00248
191,1.4.1.3,R00145
192,1.4.1.3,R00146
193,2.3.1.15,R02617
194,2.3.1.15,R09380
195,2.4.1.222,R09296
196,3.1.3.36,R04404
197,3.1.3.36,R09827
198,2.7.2.3,R01512
199,2.5.1.39,R05615
200,2.5.1.39,R05616
201,2.5.1.39,R07273
202,1.14.99.60,R12067
203,1.14.99.60,R04984
204,1.14.99.60,R06146
205,1.14.99.60,R08775
206,1.5.3.13,R03899
207,1.5.3.13,R09074
208,4.2.1.18,R02085
209,1.3.3.3,R03220
210,3.1.3.62,R03371
211,3.1.3.62,R03372
212,3.1.3.62,R07583
213,3.1.3.62,R03434
214,3.1.3.80,R09532
215,3.6.1.52,R05779
216,3.6.1.22,R00103
217,3.6.1.22,R11104
218,3.6.1.22,R03004
219,3.6.1.45,R00287
220,1.2.1.12,R01061
221,1.21.99.3,R07230
222,2.1.1.137,R05755
223,2.1.1.137,R05756
224,6.2.1.1,R00235
225,6.2.1.1,R00236
226,6.2.1.1,R00316
227,6.2.1.1,R00925
228,6.2.1.1,R00926
229,6.2.1.1,R01354
230,2.7.1.147,R09085
231,2.7.1.147,R09086
232,2.3.1.137,R03779
233,3.1.2.1,R00227
234,4.2.1.1,R10092
235,1.2.4.1,R01699
236,1.2.4.1,R00014
237,1.2.4.1,R00209
238,1.2.4.1,R03270
239,3.5.1.25,R02059
240,3.5.1.25,R05168
241,2.7.11.23,R04358
242,2.1.1.354,R03875
243,2.1.1.354,R04866
244,2.1.1.354,R04867
245,1.21.99.4,R03734
246,7.1.1.2,R11945
247,2.4.2.1,R01561
248,2.4.2.1,R01863
249,2.4.2.1,R02147
250,2.4.2.1,R02297
251,2.4.2.1,R01969
252,2.4.2.1,R02557
253,2.4.2.1,R02748
254,2.4.2.1,R02294
255,2.4.2.1,R02295
256,2.4.2.1,R02484
257,2.4.1.142,R04502
258,2.4.1.142,R05972
259,2.4.1.132,R05002
260,2.4.1.132,R05973
261,2.4.1.257,R06238
262,2.4.1.258,R06258
263,2.4.1.260,R06260
264,2.4.1.267,R06262
