,reaction,compound
36270,R07960,C00005
36271,R07960,C00080
36272,R07960,C00007
36273,R09091,C06866
36274,R09091,C16666
36275,R09091,C18202
36276,R02838,C00735
36277,R02838,C03161
36278,R02838,C00001
36279,R02838,C05497
36280,R02838,C03024
36281,R02838,C00007
36282,R06541,C05904
36283,R06541,C00005
36284,R06541,C00080
36285,R06541,C12128
36286,R06541,C00006
36287,R03790,C02137
36288,R03790,C00004
36289,R03790,C00080
36290,R03790,C01983
36291,R03790,C00003
36292,R07685,C16199
36293,R07685,C00022
36294,R07685,C16198
36295,R07685,C00001
36296,R04810,C05449
36297,R04810,C00004
36298,R04810,C00080
36299,R04810,C05448
36300,R04810,C00003
36301,R08144,C01126
36302,R08144,C00009
36303,R08144,C00448
36304,R08144,C00001
36305,R11394,C21332
36306,R11394,C00027
36307,R11394,C01187
36308,R11394,C00007
36309,R10310,C20502
36310,R10310,C00004
36311,R10310,C00080
36312,R10310,C20500
36313,R10310,C00003
36314,R04229,C04050
36315,R04229,C00006
36316,R04229,C00001
36317,R04229,C03474
36318,R04229,C00005
36319,R04229,C00080
36320,R02640,C00618
36321,R02640,C00004
36322,R02640,C00080
36323,R02640,C00800
36324,R02640,C00003
36325,R03234,C02888
36326,R03234,C00005
36327,R03234,C00080
36328,R03234,C01096
36329,R03234,C00006
36330,R05350,C06712
36331,R05350,C00005
36332,R05350,C00080
36333,R05350,C06711
36334,R05350,C00006
36335,R08385,C15493
36336,R08385,C00004
36337,R08385,C00080
36338,R08385,C16681
36339,R08385,C00003
36340,R08385,C00001
36341,R10022,C20271
36342,R10022,C02952
36343,R01577,C00309
36344,R01577,C00216
36345,R07170,C01297
36346,R07170,C00027
36347,R07170,C03043
36348,R07170,C00001
36349,R07170,C00007
36350,R00961,C00130
36351,R00961,C00009
36352,R00961,C00104
36353,R00961,C00001
36354,R09564,C19697
36355,R09564,C00001
36356,R09564,C00698
36357,R09564,C00027
36358,R09564,C00080
36359,R05701,C01494
36360,R05701,C00005
36361,R05701,C00080
36362,R05701,C02666
36363,R05701,C00001
36364,R05701,C00006
36365,R04307,C03767
36366,R04307,C00004
36367,R04307,C00080
36368,R04307,C04404
36369,R04307,C00003
36370,R11222,C21191
36371,R11222,C03161
36372,R11222,C00001
36373,R11222,C10682
36374,R11222,C03024
36375,R11222,C00007
36376,R02266,C00696
36377,R02266,C00427
36378,R10500,C20653
36379,R10500,C00010
36380,R10500,C00166
36381,R10500,C00024
36382,R10500,C00001
36383,R09722,C19709
36384,R09722,C19843
36385,R09722,C19713
36386,R09722,C00001
36387,R10379,C20543
36388,R10379,C00006
36389,R10379,C00001
36390,R10379,C20534
36391,R10379,C00007
36392,R10379,C00005
36393,R10379,C00080
36394,R08123,C16472
36395,R08123,C16481
36396,R05820,C00615
36397,R05820,C01096
36398,R05820,C04261
36399,R05820,C00794
36400,R10564,C05231
36401,R10564,C00164
36402,R10564,C03656
36403,R10564,C00024
36404,R06308,C11897
36405,R06308,C03161
36406,R06308,C00001
36407,R06308,C11895
36408,R06308,C03024
36409,R06308,C00007
36410,R03979,C02534
36411,R03979,C15584
36412,R03979,C03254
36413,R03979,C00001
36414,R01052,C00009
36415,R01052,C00301
36416,R01052,C00008
36417,R01052,C00117
36418,R01860,C00292
36419,R01860,C00011
36420,R01860,C00568
36421,R06195,C06091
36422,R06195,C06090
36423,R04799,C05432
36424,R04799,C00001
36425,R04799,C00028
36426,R04799,C05430
36427,R04799,C00007
36428,R04799,C00030
36429,R09336,C18640
36430,R09336,C12425
36431,R02380,C00015
36432,R02380,C01175
36433,R02380,C00029
36434,R02380,C00482
36435,R05558,C06552
36436,R05558,C01327
36437,R05558,C06551
36438,R05558,C00001
36439,R05268,C06637
36440,R05268,C00698
36441,R05268,C04596
36442,R05268,C00080
36443,R08278,C07645
36444,R08278,C07643
36445,R10695,C16999
36446,R10695,C00014
36447,R10695,C20773
36448,R10695,C00001
36449,R10534,C07331
36450,R10534,C00283
36451,R10534,C19033
36452,R10534,C00001
36453,R01819,C05345
36454,R01819,C00275
36455,R05321,C06736
36456,R05321,C00003
36457,R05321,C00001
36458,R05321,C02593
36459,R05321,C00004
36460,R05321,C00007
36461,R05321,C00080
36462,R06690,C01661
36463,R06690,C00006
36464,R06690,C00001
36465,R06690,C01907
36466,R06690,C00005
36467,R06690,C00080
36468,R06690,C00007
36469,R04049,C03926
36470,R04049,C00004
36471,R04049,C00080
36472,R04049,C02782
36473,R04049,C00003
36474,R10125,C09848
36475,R10125,C00004
36476,R10125,C00080
36477,R10125,C09849
36478,R10125,C00003
36479,R06379,C11412
36480,R06379,C00004
36481,R06379,C00080
36482,R06379,C11410
36483,R06379,C00003
36484,R03693,C01732
36485,R03693,C00001
36486,R03693,C02614
36487,R02280,C00433
36488,R02280,C00014
36489,R02280,C04282
36490,R02280,C00001
36491,R11541,C06337
36492,R11541,C01380
36493,R11541,C21450
36494,R11541,C00001
36495,R05607,C05345
36496,R05607,C00004
36497,R05607,C00080
36498,R05607,C01096
36499,R05607,C00003
36500,R00730,C03004
36501,R00730,C03161
36502,R00730,C00001
36503,R00730,C00082
36504,R00730,C00007
36505,R00730,C03024
36506,R05421,C06607
36507,R05421,C00870
36508,R05421,C06604
36509,R05421,C00001
36510,R11347,C02814
36511,R11347,C00003
36512,R11347,C00001
36513,R11347,C01751
36514,R11347,C00004
36515,R11347,C00080
36516,R11347,C00007
36517,R10398,C20508
36518,R10398,C00033
36519,R10398,C20506
36520,R10398,C00001
36521,R08454,C16713
36522,R08454,C16707
36523,R03779,C00010
36524,R03779,C02838
36525,R03779,C01944
36526,R03779,C00318
36527,R02052,C00641
36528,R02052,C00346
36529,R02052,C00350
36530,R02052,C00001
36531,R00921,C02876
36532,R00921,C00010
36533,R00921,C00100
36534,R00921,C00009
36535,R10023,C20307
36536,R10023,C03161
36537,R10023,C00001
36538,R10023,C16028
36539,R10023,C00007
36540,R10023,C03024
36541,R07759,C16217
36542,R07759,C00006
36543,R07759,C16216
36544,R07759,C00005
36545,R07759,C00080
36546,R11597,C18796
36547,R11597,C03161
36548,R11597,C00001
36549,R11597,C19491
36550,R11597,C03024
36551,R11597,C00007
36552,R05416,C07123
36553,R05416,C00080
36554,R05416,C06728
36555,R05416,C00007
36556,R07031,C06314
36557,R07031,C14815
36558,R07031,C00001
36559,R10109,C20366
36560,R10109,C00088
36561,R10109,C19789
36562,R10109,C00007
36563,R05554,C00603
36564,R05554,C00014
36565,R05554,C02091
36566,R05554,C00001
36567,R05678,C07287
36568,R05678,C00004
36569,R05678,C00080
36570,R05678,C07288
36571,R05678,C00003
36572,R09242,C18320
36573,R09242,C00006
36574,R09242,C00001
36575,R09242,C11006
36576,R09242,C00005
36577,R09242,C00080
36578,R01647,C06201
36579,R01647,C00232
36580,R01647,C00022
36581,R05703,C05439
36582,R05703,C00005
36583,R05703,C00080
36584,R05703,C01189
36585,R05703,C00006
36586,R03434,C01245
36587,R03434,C00009
36588,R03434,C01272
36589,R03434,C00001
36590,R06393,C11420
36591,R06393,C11418
36592,R06393,C00001
36593,R05522,C06616
36594,R05522,C00006
36595,R05522,C00001
36596,R05522,C06633
36597,R05522,C00005
36598,R05522,C00080
36599,R05522,C00007
36600,R10802,C05927
36601,R10802,C00030
36602,R10802,C01217
36603,R10802,C00028
36604,R07560,C15943
36605,R07560,C00030
36606,R07560,C02094
36607,R07560,C00028
36608,R12198,C21983
36609,R12198,C22001
36610,R12198,C21982
36611,R12198,C00001
36612,R07898,C16338
36613,R07898,C00004
36614,R07898,C00080
36615,R07898,C16337
36616,R07898,C00003
36617,R07332,C00015
36618,R07332,C04074
36619,R07332,C00029
36620,R07332,C00799
36621,R02195,C00010
36622,R02195,C02572
36623,R02195,C00406
36624,R02195,C00296
36625,R03622,C01590
36626,R03622,C00001
36627,R03622,C02549
36628,R10509,C20664
36629,R10509,C00341
36630,R04057,C00033
36631,R04057,C03237
36632,R04057,C00024
36633,R04057,C02804
36634,R07058,C14765
36635,R07058,C00004
36636,R07058,C00080
36637,R07058,C14762
36638,R07058,C00003
36639,R04556,C04707
36640,R04556,C00004
36641,R04556,C00080
36642,R04556,C04671
36643,R04556,C00003
36644,R06438,C11926
36645,R06438,C00004
36646,R06438,C00080
36647,R06438,C11912
36648,R06438,C00003
36649,R04364,C05539
36650,R04364,C00010
36651,R04364,C03972
36652,R04364,C00024
36653,R04364,C00001
36654,R08402,C07601
36655,R08402,C11901
36656,R03026,C00877
36657,R03026,C00001
36658,R03026,C01144
36659,R01705,C06412
36660,R01705,C00001
36661,R01705,C00249
36662,R01705,C00017
36663,R09804,C19796
36664,R09804,C00015
36665,R09804,C01750
36666,R09804,C00029
36667,R07578,C15982
36668,R07578,C08591
36669,R08230,C11736
36670,R08230,C00009
36671,R08230,C07649
36672,R08230,C00672
36673,R01245,C00147
36674,R01245,C00121
36675,R01245,C00212
36676,R01245,C00001
36677,R04980,C05801
36678,R04980,C00006
36679,R04980,C00001
36680,R04980,C05800
36681,R04980,C00007
36682,R04980,C00005
36683,R05583,C09825
36684,R05583,C00030
36685,R05583,C09824
36686,R05583,C00028
36687,R05650,C11425
36688,R05650,C03164
36689,R05650,C00007
36690,R08884,C17944
36691,R08884,C03167
36692,R02442,C05631
36693,R02442,C03161
36694,R02442,C00001
36695,R02442,C00509
36696,R02442,C03024
36697,R02442,C00007
36698,R11518,C11243
36699,R11518,C00006
36700,R11518,C21435
36701,R11518,C00005
36702,R11518,C00080
36703,R07046,C14749
36704,R07046,C03161
36705,R07046,C00001
36706,R07046,C00219
36707,R07046,C03024
36708,R07046,C00007
36709,R09312,C18360
36710,R09312,C00003
36711,R09312,C12436
36712,R09312,C00004
36713,R09312,C00080
36714,R05349,C06712
36715,R05349,C00004
36716,R05349,C00080
36717,R05349,C06711
36718,R05349,C00003
36719,R10887,C20914
36720,R10887,C00011
36721,R10887,C20913
36722,R11326,C21281
36723,R11326,C00009
36724,R11326,C00001
36725,R11326,C05382
36726,R06445,C11927
36727,R06445,C00688
36728,R09811,C19937
36729,R09811,C01595
36730,R09811,C00007
36731,R09895,C20180
36732,R09895,C00013
36733,R09895,C00448
36734,R07497,C15777
36735,R07497,C04525
36736,R07351,C21381
36737,R07351,C00004
36738,R07351,C00080
36739,R07351,C15598
36740,R07351,C00003
36741,R07982,C16364
36742,R07982,C16363
36743,R07982,C00048
36744,R07982,C16362
36745,R07982,C00001
36746,R11756,C21637
36747,R11756,C21406
36748,R06546,C08639
36749,R06546,C00015
36750,R06546,C08604
36751,R06546,C00029
36752,R07975,C16358
36753,R07975,C00003
36754,R07975,C00067
36755,R07975,C00001
36756,R07975,C07130
36757,R07975,C00004
36758,R07975,C00080
36759,R07975,C00007
36760,R11190,C20957
36761,R11190,C00047
36762,R11190,C21160
36763,R11190,C00001
36764,R01905,C00312
36765,R01905,C00011
36766,R01905,C00618
36767,R01115,C03691
36768,R01115,C00996
36769,R01115,C00001
36770,R01115,C00128
36771,R01115,C00999
36772,R01115,C00007
36773,R01115,C00080
36774,R09901,C20177
36775,R09901,C00013
36776,R09901,C00448
36777,R00067,C00282
36778,R00067,C05359
36779,R00067,C00080
36780,R08383,C16681
36781,R08383,C00005
36782,R08383,C00080
36783,R08383,C16682
36784,R08383,C00006
36785,R06823,C12628
36786,R06823,C01460
36787,R01221,C00143
36788,R01221,C00014
36789,R01221,C00011
36790,R01221,C00004
36791,R01221,C00080
36792,R01221,C00037
36793,R01221,C00101
36794,R01221,C00003
36795,R09931,C20225
36796,R09931,C00005
36797,R09931,C00080
36798,R09931,C10469
36799,R09931,C00033
36800,R09931,C00006
36801,R05474,C03077
36802,R05474,C06646
36803,R04874,C05130
36804,R04874,C00011
36805,R04874,C03277
36806,R05864,C06762
36807,R05864,C11354
36808,R05864,C00001
36809,R07423,C15770
36810,R07423,C03161
36811,R07423,C00001
36812,R07423,C15769
36813,R07423,C03024
36814,R07423,C00007
36815,R02959,C02671
36816,R02959,C00819
36817,R11448,C06142
36818,R11448,C00003
36819,R11448,C00001
36820,R11448,C21390
36821,R11448,C00004
36822,R11448,C00080
36823,R11448,C00007
36824,R07583,C15990
36825,R07583,C00009
36826,R07583,C01204
36827,R07583,C00001
36828,R02065,C00013
36829,R02065,C03427
36830,R02065,C00353
36831,R04053,C03167
36832,R04053,C00011
36833,R04053,C02798
36834,R05543,C07723
36835,R05543,C00001
36836,R05543,C07722
36837,R02969,C00830
36838,R02969,C00004
36839,R02969,C00080
36840,R02969,C02287
36841,R02969,C00003
36842,R11066,C21086
36843,R11066,C21085
36844,R00073,C05956
36845,R00073,C00030
36846,R00073,C00427
36847,R00073,C00028
36848,R00073,C00001
36849,R09667,C00035
36850,R09667,C19793
36851,R09667,C00096
36852,R09667,C19791
36853,R05508,C00186
36854,R05508,C00024
36855,R05508,C00827
36856,R05508,C00033
36857,R06676,C12417
36858,R06676,C12415
36859,R00890,C00035
36860,R00890,C02492
36861,R00890,C00096
36862,R00890,C02492
36863,R11897,C21752
36864,R11897,C06548
36865,R11897,C03576
36866,R06350,C11867
36867,R06350,C11866
36868,R11153,C21144
36869,R11153,C00003
36870,R11153,C00001
36871,R11153,C16361
36872,R11153,C00004
36873,R11153,C00080
36874,R11153,C00007
36875,R05260,C06649
36876,R05260,C00028
36877,R05260,C04623
36878,R05260,C00030
36879,R05260,C00007
36880,R10203,C11145
36881,R10203,C00067
36882,R10203,C00061
36883,R10203,C00001
36884,R10203,C11142
36885,R10203,C01847
36886,R10203,C00007
36887,R09148,C07490
36888,R09148,C00003
36889,R09148,C00001
36890,R09148,C18246
36891,R09148,C00004
36892,R09148,C00080
36893,R09148,C00007
36894,R06934,C14108
36895,R06934,C00022
36896,R06934,C14107
36897,R06934,C00001
36898,R09976,C16776
36899,R09976,C00013
36900,R09976,C00448
36901,R06388,C11403
36902,R06388,C00006
36903,R06388,C00001
36904,R06388,C11401
36905,R06388,C00005
36906,R06388,C00007
36907,R06388,C00080
36908,R02204,C00450
36909,R02204,C00027
36910,R02204,C00408
36911,R02204,C00007
36912,R02391,C00500
36913,R02391,C00004
36914,R02391,C00080
36915,R02391,C00486
36916,R02391,C00003
36917,R01010,C00184
36918,R01010,C00009
36919,R01010,C00111
36920,R01010,C00001
36921,R09250,C04145
36922,R09250,C00013
36923,R09250,C00341
36924,R09250,C00129
36925,R07951,C16387
36926,R07951,C00001
36927,R07951,C16388
36928,R01415,C00178
36929,R01415,C00005
36930,R01415,C00080
36931,R01415,C21028
36932,R01415,C00006
36933,R02344,C00466
36934,R02344,C00004
36935,R02344,C00080
36936,R02344,C03046
36937,R02344,C00003
36938,R04447,C05942
36939,R04447,C00001
36940,R04447,C04282
36941,R11540,C21451
36942,R11540,C21450
36943,R11540,C21451
36944,R11540,C00001
36945,R12218,C22005
36946,R12218,C03161
36947,R12218,C00001
36948,R12218,C00766
36949,R12218,C03024
36950,R12218,C00007
36951,R03778,C00010
36952,R03778,C05265
36953,R03778,C01944
36954,R03778,C00024
36955,R11754,C21635
36956,R11754,C21406
36957,R10566,C20596
36958,R10566,C20593
36959,R08809,C17742
36960,R08809,C00010
36961,R08809,C00011
36962,R08809,C17741
36963,R08809,C00223
36964,R08809,C00001
36965,R08438,C21633
36966,R08438,C16702
36967,R09414,C19590
36968,R09414,C19591
36969,R05500,C06791
36970,R05500,C01327
36971,R05500,C06790
36972,R05500,C00080
36973,R08200,C00022
36974,R08200,C00009
36975,R08200,C02798
36976,R08200,C00001
36977,R07698,C03012
36978,R07698,C00094
36979,R07698,C16201
36980,R07698,C00007
36981,R09858,C20140
36982,R09858,C00009
36983,R09858,C20139
36984,R09858,C00169
36985,R09990,C03684
36986,R09990,C00005
36987,R09990,C00080
36988,R09990,C20264
36989,R09990,C00006
36990,R06517,C00010
36991,R06517,C12126
36992,R06517,C00040
36993,R06517,C00836
36994,R06806,C12636
36995,R06806,C00010
36996,R06806,C12635
36997,R06806,C00223
36998,R01312,C00641
36999,R01312,C00588
37000,R01312,C00157
37001,R01312,C00001
37002,R01873,C01359
37003,R01873,C00944
37004,R01873,C00296
37005,R01873,C00113
37006,R11329,C05770
37007,R11329,C14818
37008,R11329,C21284
37009,R11329,C00080
37010,R06353,C11884
37011,R06353,C11880
37012,R00125,C00008
37013,R00125,C01260
37014,R00125,C00001
37015,R05362,C00596
37016,R05362,C00511
37017,R05362,C07087
37018,R05362,C00001
37019,R05312,C06725
37020,R05312,C00004
37021,R05312,C00080
37022,R05312,C06726
37023,R05312,C00003
37024,R08946,C01083
37025,R08946,C00008
37026,R08946,C00498
37027,R08946,C00031
37028,R02962,C05604
37029,R02962,C00822
37030,R04758,C05285
37031,R04758,C00005
37032,R04758,C00080
37033,R04758,C05284
37034,R04758,C00006
37035,R05167,C01606
37036,R05167,C00706
37037,R05167,C06374
37038,R05167,C00001
37039,R04909,C05651
37040,R04909,C05638
37041,R04909,C00011
37042,R07652,C16144
37043,R07652,C00013
37044,R07652,C00448
37045,R07983,C01596
37046,R07983,C00011
37047,R07983,C00058
37048,R07983,C15523
37049,R07983,C00001
37050,R07983,C00007
37051,R09215,C18308
37052,R09215,C18303
37053,R10870,C04864
37054,R10870,C00634
37055,R08790,C17591
37056,R08790,C03161
37057,R08790,C00001
37058,R08790,C02105
37059,R08790,C03024
37060,R08790,C00007
37061,R03277,C03921
37062,R03277,C01146
37063,R03277,C00022
37064,R08753,C04509
37065,R08753,C00013
37066,R08753,C17438
37067,R08753,C00129
37068,R10718,C05235
37069,R10718,C00003
37070,R10718,C00546
37071,R10718,C00004
37072,R10718,C00080
37073,R10434,C00015
37074,R10434,C20619
37075,R10434,C00029
37076,R10434,C01289
37077,R08068,C00371
37078,R08068,C03161
37079,R08068,C00001
37080,R08068,C04083
37081,R08068,C03024
37082,R08068,C00007
37083,R04277,C04434
37084,R04277,C03671
37085,R04277,C00001
37086,R01581,C00060
37087,R01581,C00217
37088,R01581,C06379
37089,R01581,C00001
37090,R08826,C08543
37091,R08826,C00001
37092,R08826,C17753
37093,R08826,C08565
37094,R08826,C00007
37095,R08826,C08543
37096,R06313,C11890
37097,R06313,C00013
37098,R06313,C11902
37099,R06313,C00001
37100,R11449,C21391
37101,R11449,C00006
37102,R11449,C00001
37103,R11449,C06570
37104,R11449,C00005
37105,R11449,C00080
37106,R11449,C00007
37107,R08822,C08540
37108,R08822,C00015
37109,R08822,C08539
37110,R08822,C00029
37111,R00983,C00108
37112,R00983,C00011
37113,R00983,C02775
37114,R00983,C00007
37115,R05654,C11431
37116,R05654,C00001
37117,R05654,C00003
37118,R05654,C11422
37119,R05654,C00007
37120,R05654,C00004
37121,R05654,C00080
37122,R08319,C16605
37123,R08319,C16604
37124,R08141,C00477
37125,R08141,C00003
37126,R08141,C02513
37127,R08141,C00004
37128,R08141,C00080
37129,R01695,C00273
37130,R01695,C00027
37131,R01695,C00247
37132,R01695,C00007
37133,R04339,C04445
37134,R04339,C00004
37135,R04339,C00080
37136,R04339,C03901
37137,R04339,C00003
37138,R10777,C20846
37139,R10777,C05281
37140,R10777,C00001
37141,R07502,C02483
37142,R07502,C15883
37143,R01895,C00309
37144,R01895,C00004
37145,R01895,C00080
37146,R01895,C00474
37147,R01895,C00003
37148,R02954,C00814
37149,R02954,C00005
37150,R02954,C00080
37151,R02954,C02675
37152,R02954,C00006
37153,R05290,C06729
37154,R05290,C00003
37155,R05290,C01454
37156,R05290,C00007
37157,R05290,C00004
37158,R05290,C00080
37159,R10732,C20811
37160,R10732,C00013
37161,R10732,C00448
37162,R11126,C21130
37163,R11126,C00229
37164,R11126,C20854
37165,R11126,C21129
37166,R11353,C01751
37167,R11353,C00011
37168,R11353,C21298
37169,R09114,C09118
37170,R09114,C18222
37171,R05098,C06102
37172,R05098,C03241
37173,R03674,C05578
37174,R03674,C00011
37175,R03674,C01693
37176,R11206,C10447
37177,R11206,C00323
37178,R11206,C21175
37179,R11206,C01197
37180,R09051,C16933
37181,R09051,C16671
37182,R01387,C02330
37183,R01387,C00167
37184,R09415,C19590
37185,R09415,C19592
37186,R07753,C10538
37187,R07753,C00015
37188,R07753,C10502
37189,R07753,C00029
37190,R09040,C18131
37191,R09040,C00013
37192,R09040,C00156
37193,R09040,C00341
37194,R11366,C21308
37195,R11366,C00082
37196,R09155,C18248
37197,R09155,C01327
37198,R09155,C18247
37199,R11912,C21762
37200,R11912,C00028
37201,R11912,C00001
37202,R11912,C00398
37203,R11912,C00030
37204,R11912,C00007
37205,R10183,C00013
37206,R10183,C00203
37207,R10183,C00075
37208,R10183,C18060
37209,R07345,C15591
37210,R07345,C00003
37211,R07345,C10101
37212,R07345,C00004
37213,R07345,C00080
37214,R08204,C16541
37215,R08204,C00001
37216,R08204,C00006
37217,R08204,C16540
37218,R08204,C00007
37219,R08204,C00005
37220,R08204,C00080
37221,R11688,C21587
37222,R11688,C03161
37223,R11688,C00001
37224,R11688,C21586
37225,R11688,C03024
37226,R11688,C00007
37227,R05666,C01468
37228,R05666,C00003
37229,R05666,C00001
37230,R05666,C01455
37231,R05666,C00004
37232,R05666,C00080
37233,R05666,C00007
37234,R02543,C00010
37235,R02543,C00550
37236,R02543,C00040
37237,R02543,C03640
37238,R08880,C15673
37239,R08880,C00005
37240,R08880,C00080
37241,R08880,C00770
37242,R08880,C00006
37243,R09246,C01230
37244,R09246,C00013
37245,R09246,C00353
37246,R09246,C00129
37247,R08425,C10865
37248,R08425,C06184
37249,R02894,C03564
37250,R02894,C00027
37251,R02894,C00763
37252,R02894,C00007
37253,R06463,C11996
37254,R06463,C00139
37255,R06463,C00001
37256,R06463,C11994
37257,R06463,C00138
37258,R06463,C00007
37259,R06463,C00080
37260,R08751,C17437
37261,R08751,C00013
37262,R08751,C17436
37263,R08751,C00129
37264,R07561,C15965
37265,R07561,C00139
37266,R07561,C00001
37267,R07561,C08592
37268,R07561,C00138
37269,R07561,C00080
37270,R07561,C00007
37271,R06730,C12449
37272,R06730,C10858
37273,R11492,C20981
37274,R11492,C00027
37275,R11492,C21413
37276,R11492,C00007
37277,R04522,C04596
37278,R04522,C01327
37279,R04522,C04623
37280,R04418,C04186
37281,R04418,C00004
37282,R04418,C00080
37283,R04418,C04642
37284,R04418,C00003
37285,R04418,C00001
37286,R10843,C20894
37287,R10843,C19731
37288,R10843,C06098
37289,R10843,C00007
37290,R06143,C03789
37291,R06143,C00191
37292,R06143,G10530
37293,R06143,C00001
37294,R01119,C04799
37295,R01119,C00128
37296,R09906,C17966
37297,R09906,C01054
37298,R10811,C20861
37299,R10811,C00636
37300,R10811,C17207
37301,R10811,C00009
37302,R09817,C19943
37303,R09817,C00001
37304,R09817,C03161
37305,R09817,C08616
37306,R09817,C03024
37307,R09817,C00007
37308,R01912,C00015
37309,R01912,C03996
37310,R01912,C00029
37311,R01912,C00314
37312,R09798,C19911
37313,R09798,C00048
37314,R09798,C00061
37315,R09798,C00001
37316,R09798,C14695
37317,R09798,C01847
37318,R09798,C00007
37319,R04119,C03019
37320,R04119,C00246
37321,R04119,C03634
37322,R04119,C00001
37323,R07400,C04712
37324,R07400,C00014
37325,R07400,C00027
37326,R07400,C00916
37327,R07400,C00001
37328,R07400,C00007
37329,R06912,C14086
37330,R06912,C14085
37331,R09244,C18321
37332,R09244,C00013
37333,R09244,C16826
37334,R09244,C00129
37335,R05732,C05202
37336,R05732,C03161
37337,R05732,C00001
37338,R05732,C05176
37339,R05732,C03024
37340,R05732,C00007
37341,R04254,C06143
37342,R04254,C00010
37343,R04254,C03561
37344,R10694,C20551
37345,R10694,C00006
37346,R10694,C00001
37347,R10694,C20595
37348,R10694,C00007
37349,R10694,C00005
37350,R10694,C00080
37351,R07218,C15519
37352,R07218,C00028
37353,R07218,C00001
37354,R07218,C00187
37355,R07218,C00030
37356,R07218,C00007
37357,R09251,C04145
37358,R09251,C00013
37359,R09251,C00353
37360,R09251,C00129
37361,R11893,C21748
37362,R11893,C00342
37363,R11893,C21750
37364,R11893,C00343
37365,R11893,C00001
37366,R10133,C20382
37367,R10133,C00088
37368,R10133,C14531
37369,R10133,C00001
37370,R07933,C16163
37371,R07933,C00996
37372,R07933,C00001
37373,R07933,C16162
37374,R07933,C00999
37375,R07933,C00007
37376,R07933,C00080
37377,R03798,C06079
37378,R03798,C02004
37379,R04834,C05472
37380,R04834,C00004
37381,R04834,C00080
37382,R04834,C05482
37383,R04834,C00003
37384,R07800,C16263
37385,R07800,C00080
37386,R07800,C16262
37387,R07800,C00001
37388,R07477,C15853
37389,R07477,C00004
37390,R07477,C00080
37391,R07477,C00315
37392,R07477,C00003
37393,R01561,C00147
37394,R01561,C00620
37395,R01561,C00212
37396,R01561,C00009
37397,R01309,C00670
37398,R01309,C00162
37399,R01309,C00157
37400,R01309,C00001
37401,R04353,C11132
37402,R04353,C00015
37403,R04353,C05299
37404,R04353,C00167
37405,R08676,C00498
37406,R08676,C00095
37407,R08676,C00008
37408,R08676,C00089
37409,R05172,C06384
37410,R05172,C00014
37411,R05172,C06383
37412,R05172,C00001
37413,R04105,C02975
37414,R04105,C00005
37415,R04105,C00080
37416,R04105,C03864
37417,R04105,C00006
37418,R01933,C00527
37419,R01933,C00011
37420,R01933,C00004
37421,R01933,C00080
37422,R01933,C00322
37423,R01933,C00010
37424,R01933,C00003
37425,R01130,C00655
37426,R01130,C00004
37427,R01130,C00080
37428,R01130,C00130
37429,R01130,C00003
37430,R01130,C00001
37431,R11313,C20267
37432,R11313,C00058
37433,R11313,C19872
37434,R11313,C00001
37435,R11070,C07083
37436,R11070,C00011
37437,R11070,C00423
37438,R08104,C16484
37439,R08104,C00003
37440,R08104,C11272
37441,R08104,C00004
37442,R08104,C00080
37443,R08104,C00007
37444,R03211,C02129
37445,R03211,C01066
37446,R03211,C00001
37447,R09533,C10023
37448,R09533,C00191
37449,R09533,C10025
37450,R09533,C00001
37451,R00049,C00031
37452,R00049,C04101
37453,R00049,C01158
37454,R08482,C09209
37455,R08482,C00398
37456,R03836,C05917
37457,R03836,C02110
37458,R10362,C20554
37459,R10362,C00006
37460,R10362,C00001
37461,R10362,C20553
37462,R10362,C00007
37463,R10362,C00005
37464,R10362,C00080
37465,R08847,C22038
37466,R08847,C10447
37467,R11339,C20781
37468,R11339,C00004
37469,R11339,C00080
37470,R11339,C03979
37471,R11339,C00003
37472,R03051,C04039
37473,R03051,C00006
37474,R03051,C00900
37475,R03051,C00005
37476,R03051,C00080
37477,R02171,C00396
37478,R02171,C00117
37479,R02171,C00080
37480,R02171,C03536
37481,R02171,C00001
37482,R07125,C03291
37483,R07125,C00011
37484,R07125,C14899
37485,R07125,C00080
37486,R06888,C13634
37487,R06888,C00003
37488,R06888,C00001
37489,R06888,C13631
37490,R06888,C00004
37491,R06888,C00080
37492,R06888,C00007
37493,R08419,C10783
37494,R08419,C01672
37495,R04831,C05470
37496,R04831,C00004
37497,R04831,C00080
37498,R04831,C05481
37499,R04831,C00003
37500,R08394,C09847
37501,R08394,C00341
37502,R08471,C10632
37503,R08471,C12093
37504,R12202,C00165
37505,R12202,C21995
37506,R12202,C00350
37507,R12202,C21994
37508,R04646,C06131
37509,R04646,C00035
37510,R04646,C04910
37511,R04646,C00325
37512,R01334,C00160
37513,R01334,C00009
37514,R01334,C00988
37515,R01334,C00001
37516,R04588,C01134
37517,R04588,C04334
37518,R04588,C03725
37519,R04588,C04298
37520,R07518,C15867
37521,R07518,C00028
37522,R07518,C00001
37523,R07518,C05432
37524,R07518,C00030
37525,R07518,C00007
37526,R07654,C16146
37527,R07654,C00028
37528,R07654,C00001
37529,R07654,C16145
37530,R07654,C00030
37531,R07654,C00007
37532,R05198,C00126
37533,R05198,C00084
37534,R05198,C00080
37535,R05198,C00469
37536,R05198,C00125
37537,R01374,C00166
37538,R01374,C00014
37539,R01374,C15603
37540,R01374,C02265
37541,R01374,C00001
